Disc,TrackStart,TrackEnd,Work,Composer,Conductor,Orchestra,Year,Movements
43,4,4,"Bahn frei!, op. 45 (Polka schnell)",Eduard Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,5,5,"Wein, Weib und Gesang, op. 333 (Waltz)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,6,6,"Perpetuum mobile, op. 257 (Musical Joke)",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,7,7,"Kaiser-Waltzer, op. 437",Johann Strauss,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,8,8,"Coriolan Overture, op. 62 (Allegro con brio)",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1951,1
43,9,9,"Egmont, op. 84",Ludwig van Beethoven,Eugene Ormandy,The Philadelphia Orchestra,1951,1
44,1,11,Cakewalk Suite,Louis Moreau Gottschalk,Eugene Ormandy,The Philadelphia Orchestra,1952,11
44,12,18,Fall River Legend,Morton Gould,Dimitri Mitropoulos,New York Philharmonic,1952,7
44,19,22,Façade: An Entertainment,William Walton,Alexander Hilsberg,The Philadelphia Orchestra,1952,4
44,23,25,Fancy Free,Leonard Bernstein,Alexander Hilsberg,The Philadelphia Orchestra,1952,3
45,1,1,A Trumpet Voluntary in D major,Jeremiah Clarke,Eugene Ormandy,The Philadelphia Orchestra,1952,1
45,2,2,Poem for Flute and Orchestra,Charles Tomlinson Griffes,Eugene Ormandy,The Philadelphia Orchestra,1952,1
45,3,6,"Oboe Concerto no. 3 in G minor, HWV 287",George Frideric Handel,Eugene Ormandy,The Philadelphia Orchestra,1952,4
45,7,7,Concert Piece for Bassoon and String Orchestra,Burrill Phillips,Eugene Ormandy,The Philadelphia Orchestra,1952,1
45,8,9,"Andante e rondo ongarese, op. 35",Carl Maria von Weber,Eugene Ormandy,The Philadelphia Orchestra,1952,2
45,10,10,Larghetto for Horn and Orchestra,Emmanuel Chabrier,Eugene Ormandy,The Philadelphia Orchestra,1952,1
